158,000592.SZ,平潭发展,,64
159,000593.SZ,德龙汇能,,39
160,000595.SZ,宝塔实业,,57
161,000596.SZ,古井贡酒,,62
162,000597.SZ,东北制药,,32
163,000598.SZ,兴蓉环境,,65
164,000599.SZ,青岛双星,,18
165,000600.SZ,建投能源,,16
166,000601.SZ,韶能股份,,66
167,000603.SZ,盛达资源,,24
168,000605.SZ,渤海股份,,65
169,000607.SZ,华媒控股,,67
170,000608.SZ,阳光股份,,4
171,000609.SZ,*ST中迪,,4
172,000610.SZ,西安旅游,,55
173,000612.SZ,焦作万方,,68
174,000615.SZ,ST美谷,,49
175,000617.SZ,中油资本,,42
176,000619.SZ,海螺新材,,21
177,000620.SZ,新华联,,2
178,000622.SZ,*ST恒立,,69
179,000623.SZ,吉林敖东,,44
180,000625.SZ,长安汽车,,58
181,000626.SZ,远大控股,,31
182,000627.SZ,天茂集团,,70
183,000628.SZ,高新发展,,8
184,000629.SZ,钒钛股份,,71
185,000630.SZ,铜陵有色,,72
186,000631.SZ,顺发恒业,,15
187,000632.SZ,三木集团,,15
188,000633.SZ,合金投资,,71
189,000635.SZ,英力特,,52
190,000636.SZ,风华高科,,14
191,000637.SZ,茂化实华,,23
192,000638.SZ,万方发展,,13
193,000639.SZ,西王食品,,50
194,000650.SZ,仁和药业,,44
195,000651.SZ,格力电器,,11
196,000652.SZ,泰达股份,,69
197,000655.SZ,金岭矿业,,73
198,000656.SZ,*ST金科,,2
199,000657.SZ,中钨高新,,71
200,000659.SZ,珠海中富,,67
201,000661.SZ,长春高新,,38
202,000663.SZ,永安林业,,64
203,000665.SZ,湖北广电,,33
204,000668.SZ,荣丰控股,,9
205,000669.SZ,ST金鸿,,39
206,000670.SZ,盈方微,,14
207,000672.SZ,上峰水泥,,37
208,000676.SZ,智度股份,,74
209,000677.SZ,恒天海龙,,36
210,000678.SZ,襄阳轴承,,18
211,000679.SZ,大连友谊,,43
212,000680.SZ,山推股份,,34
213,000681.SZ,视觉中国,,74
214,000682.SZ,东方电子,,7
215,000683.SZ,远兴能源,,52
216,000685.SZ,中山公用,,65
217,000686.SZ,东北证券,,35
218,000688.SZ,国城矿业,,24
219,000690.SZ,宝新能源,,16
220,000691.SZ,亚太实业,,52
221,000692.SZ,惠天热电,,39
222,000695.SZ,滨海能源,,67
223,000697.SZ,炼石航空,,75
224,000698.SZ,沈阳化工,,23
225,000700.SZ,模塑科技,,18
226,000701.SZ,厦门信达,,31
227,000702.SZ,正虹科技,,76
228,000703.SZ,恒逸石化,,36
229,000705.SZ,浙江震元,,17
230,000707.SZ,双环科技,,52
231,000708.SZ,中信特钢,,77
232,000709.SZ,河钢股份,,73
233,000710.SZ,贝瑞基因,,49
234,000711.SZ,*ST京蓝,,19
235,000712.SZ,锦龙股份,,35
236,000713.SZ,丰乐种业,,78
237,000715.SZ,中兴商业,,43
238,000716.SZ,黑芝麻,,50
239,000717.SZ,中南股份,,73
240,000718.SZ,苏宁环球,,4
241,000719.SZ,中原传媒,,79
242,000720.SZ,新能泰山,,7
243,000721.SZ,西安饮食,,45
244,000722.SZ,湖南发展,,21
245,000723.SZ,美锦能源,,80
246,000725.SZ,京东方A,,14
247,000726.SZ,鲁泰A,,81
248,000727.SZ,冠捷科技,,14
249,000728.SZ,国元证券,,35
250,000729.SZ,燕京啤酒,,82
251,000731.SZ,四川美丰,,40
252,000733.SZ,振华科技,,14
253,000735.SZ,罗牛山,,13
254,000736.SZ,中交地产,,2
255,000737.SZ,北方铜业,,72
256,000738.SZ,航发控制,,75
257,000739.SZ,普洛药业,,32
258,000750.SZ,国海证券,,35
259,000751.SZ,锌业股份,,24
260,000752.SZ,ST西发,,82
261,000753.SZ,漳州发展,,15
262,000755.SZ,山西高速,,46
263,000756.SZ,新华制药,,32
264,000757.SZ,浩物股份,,83
265,000758.SZ,中色股份,,24
266,000759.SZ,中百集团,,84
267,000761.SZ,本钢板材,,73
268,000762.SZ,西藏矿业,,71
269,000766.SZ,通化金马,,32
270,000767.SZ,晋控电力,,16
271,000768.SZ,中航西飞,,75
272,000776.SZ,广发证券,,35
273,000777.SZ,中核科技,,57
274,000778.SZ,新兴铸管,,85
275,000779.SZ,甘咨询,,8
276,000782.SZ,恒申新材,,36
277,000783.SZ,长江证券,,35
278,000785.SZ,居然智家,,43
279,000786.SZ,北新建材,,21
280,000788.SZ,北大医药,,32
281,000789.SZ,万年青,,37
282,000790.SZ,华神科技,,44
283,000791.SZ,甘肃能源,,66
284,000792.SZ,盐湖股份,,40
285,000793.SZ,华闻集团,,79
286,000795.SZ,英洛华,,86
287,000796.SZ,凯撒旅业,,55
288,000797.SZ,中国武夷,,2
289,000798.SZ,中水渔业,,87
290,000799.SZ,酒鬼酒,,62
291,000800.SZ,一汽解放,,58
292,000801.SZ,四川九洲,,11
293,000802.SZ,北京文化,,33
294,000803.SZ,山高环能,,19
295,000807.SZ,云铝股份,,68
296,000809.SZ,*ST和展,,4
297,000810.SZ,创维数字,,11
298,000811.SZ,冰轮环境,,34
299,000812.SZ,陕西金叶,,67
300,000813.SZ,德展健康,,32
301,000815.SZ,美利云,,48
302,000816.SZ,智慧农业,,63
303,000818.SZ,航锦科技,,52
304,000819.SZ,岳阳兴长,,23
305,000820.SZ,神雾节能,,15
306,000821.SZ,京山轻机,,7
307,000822.SZ,山东海化,,52
308,000823.SZ,超声电子,,14
309,000825.SZ,太钢不锈,,77
310,000826.SZ,启迪环境,,19
311,000828.SZ,东莞控股,,46
312,000829.SZ,天音控股,,5
313,000830.SZ,鲁西化工,,52
314,000831.SZ,中国稀土,,71
315,000833.SZ,粤桂股份,,15
316,000837.SZ,秦川机床,,41
317,000838.SZ,财信发展,,4
318,000839.SZ,中信国安,,15
319,000848.SZ,承德露露,,88
320,000850.SZ,华茂股份,,81
321,000851.SZ,ST高鸿,,25
322,000852.SZ,石化机械,,89
323,000856.SZ,冀东装备,,53
324,000858.SZ,五粮液,,62
325,000859.SZ,国风新材,,90
326,000860.SZ,顺鑫农业,,62
327,000862.SZ,银星能源,,20
328,000863.SZ,三湘印象,,4
329,000868.SZ,安凯客车,,58
330,000869.SZ,张裕A,,91
331,000875.SZ,吉电股份,,16
332,000876.SZ,新希望,,76
333,000877.SZ,天山股份,,37
334,000878.SZ,云南铜业,,72
335,000880.SZ,潍柴重机,,53
336,000881.SZ,中广核技,,52
337,000882.SZ,华联股份,,5
338,000883.SZ,湖北能源,,66
339,000885.SZ,城发环境,,19
340,000886.SZ,海南高速,,4
341,000887.SZ,中鼎股份,,18
342,000888.SZ,峨眉山A,,47
343,000889.SZ,ST中嘉,,25
344,000890.SZ,法尔胜,,19
345,000892.SZ,欢瑞世纪,,33
346,000893.SZ,亚钾国际,,40
347,000895.SZ,双汇发展,,50
348,000897.SZ,津滨发展,,4
349,000898.SZ,鞍钢股份,,73
350,000899.SZ,赣能股份,,16
351,000900.SZ,现代投资,,46
352,000901.SZ,航天科技,,18
353,000902.SZ,新洋丰,,40
354,000903.SZ,云内动力,,18
355,000905.SZ,厦门港务,,27
356,000906.SZ,浙商中拓,,92
357,000908.SZ,*ST景峰,,32
358,000909.SZ,ST数源,,4
359,000910.SZ,大亚圣象,,93
360,000911.SZ,广农糖业,,50
361,000912.SZ,泸天化,,40
362,000913.SZ,钱江摩托,,94
363,000915.SZ,华特达因,,32
364,000917.SZ,电广传媒,,67
365,000919.SZ,金陵药业,,32
366,000920.SZ,沃顿科技,,90
367,000921.SZ,海信家电,,11
368,000922.SZ,佳电股份,,7
369,000923.SZ,河钢资源,,73
370,000925.SZ,众合科技,,6
371,000926.SZ,福星股份,,4
372,000927.SZ,中国铁物,,92
373,000928.SZ,中钢国际,,8
374,000929.SZ,兰州黄河,,82
375,000930.SZ,中粮科技,,13
376,000931.SZ,中关村,,32
377,000932.SZ,华菱钢铁,,73
378,000933.SZ,神火股份,,68
379,000935.SZ,四川双马,,37
380,000936.SZ,华西股份,,36
381,000937.SZ,冀中能源,,59
382,000938.SZ,紫光股份,,26
383,000948.SZ,南天信息,,3
384,000949.SZ,新乡化纤,,36
385,000950.SZ,重药控股,,17
386,000951.SZ,中国重汽,,58
387,000952.SZ,广济药业,,32
388,000953.SZ,河化股份,,32
389,000955.SZ,欣龙控股,,81
390,000957.SZ,中通客车,,58
391,000958.SZ,电投产融,,42
392,000959.SZ,首钢股份,,73
393,000960.SZ,锡业股份,,71
394,000962.SZ,东方钽业,,71
395,000963.SZ,华东医药,,32
396,000965.SZ,天保基建,,4
397,000966.SZ,长源电力,,16
398,000967.SZ,盈峰环境,,19
399,000968.SZ,蓝焰控股,,95
400,000969.SZ,安泰科技,,71
401,000970.SZ,中科三环,,86
402,000972.SZ,中基健康,,50
403,000973.SZ,佛塑科技,,90
404,000975.SZ,山金国际,,51
405,000977.SZ,浪潮信息,,26
406,000978.SZ,桂林旅游,,47
407,000980.SZ,众泰汽车,,18
408,000981.SZ,山子高科,,18
409,000983.SZ,山西焦煤,,59
410,000985.SZ,大庆华科,,52
411,000987.SZ,越秀资本,,42
412,000988.SZ,华工科技,,53
413,000989.SZ,ST九芝,,44
414,000990.SZ,诚志股份,,52
415,000993.SZ,闽东电力,,66
416,000995.SZ,皇台酒业,,62
417,000997.SZ,新大陆,,26
418,000998.SZ,隆平高科,,78
419,000999.SZ,华润三九,,44
420,001201.SZ,东瑞股份,,13
421,001202.SZ,炬申股份,,92
422,001203.SZ,大中矿业,,73
423,001205.SZ,盛航股份,,54
424,001206.SZ,依依股份,,48
425,001207.SZ,联科科技,,52
426,001208.SZ,华菱线缆,,7
427,001209.SZ,洪兴股份,,12
428,001210.SZ,金房能源,,39
429,001211.SZ,双枪科技,,93
430,001212.SZ,中旗新材,,21
431,001213.SZ,中铁特货,,60
432,001215.SZ,千味央厨,,50
433,001216.SZ,华瓷股份,,93
434,001217.SZ,华尔泰,,52
435,001218.SZ,丽臣实业,,52
436,001219.SZ,青岛食品,,50
437,001222.SZ,源飞宠物,,56
438,001223.SZ,欧克科技,,53
439,001225.SZ,和泰机电,,53
440,001226.SZ,拓山重工,,34
441,001227.SZ,兰州银行,,1
442,001228.SZ,永泰运,,92
443,001229.SZ,魅视科技,,26
444,001230.SZ,劲旅环境,,19
445,001231.SZ,农心科技,,40
446,001234.SZ,泰慕士,,12
447,001236.SZ,弘业期货,,42
448,001238.SZ,浙江正特,,93
449,001239.SZ,永达股份,,34
450,001255.SZ,博菲电气,,20
451,001256.SZ,炜冈科技,,96
452,001258.SZ,立新能源,,20
453,001259.SZ,利仁科技,,11
454,001260.SZ,坤泰股份,,18
455,001266.SZ,宏英智能,,97
456,001267.SZ,汇绿生态,,8
457,001268.SZ,联合精密,,57
458,001269.SZ,欧晶科技,,86
459,001270.SZ,铖昌科技,,98
460,001277.SZ,速达股份,,53
461,001278.SZ,一彬科技,,18
462,001279.SZ,强邦新材,,67
463,001282.SZ,三联锻造,,18
464,001283.SZ,豪鹏科技,,7
465,001286.SZ,陕西能源,,16
466,001287.SZ,中电港,,14
467,001288.SZ,运机集团,,53
468,001289.SZ,龙源电力,,20
469,001296.SZ,长江材料,,21
470,001298.SZ,好上好,,14
471,001299.SZ,美能能源,,39
472,001300.SZ,三柏硕,,56
473,001301.SZ,尚太科技,,7
474,001306.SZ,夏厦精密,,57
475,001308.SZ,康冠科技,,14
476,001309.SZ,德明利,,98
477,001311.SZ,多利科技,,18
478,001313.SZ,粤海饲料,,76
479,001314.SZ,亿道信息,,14
480,001316.SZ,润贝航科,,69
481,001317.SZ,三羊马,,60
482,001318.SZ,阳光乳业,,99
483,001319.SZ,铭科精技,,18
484,001322.SZ,箭牌家居,,93
485,001323.SZ,慕思股份,,93
486,001324.SZ,长青科技,,6
487,001326.SZ,联域股份,,7
488,001328.SZ,登康口腔,,100
489,001330.SZ,博纳影业,,33
490,001331.SZ,胜通能源,,101
491,001332.SZ,锡装股份,,53
492,001333.SZ,光华股份,,52
493,001336.SZ,楚环科技,,53
494,001337.SZ,四川黄金,,51
495,001338.SZ,永顺泰,,82
496,001339.SZ,智微智能,,26
497,001358.SZ,兴欣新材,,52
498,001359.SZ,平安电工,,86
499,001360.SZ,南矿集团,,34
500,001366.SZ,播恩集团,,76
501,001367.SZ,海森药业,,32
502,001368.SZ,通达创智,,56
503,001373.SZ,翔腾新材,,14
504,001376.SZ,百通能源,,39
505,001378.SZ,德冠新材,,90
506,001379.SZ,腾达科技,,57
507,001380.SZ,华纬科技,,18
508,001387.SZ,雪祺电气,,11
509,001389.SZ,广合科技,,14
510,001391.SZ,C国货航,,92
511,001696.SZ,宗申动力,,94
512,001872.SZ,招商港口,,27
513,001896.SZ,豫能控股,,16
514,001914.SZ,招商积余,,9
515,001965.SZ,招商公路,,46
516,001979.SZ,招商蛇口,,2
517,002001.SZ,新和成,,32
518,002003.SZ,伟星股份,,12
519,002004.SZ,华邦健康,,40
520,002005.SZ,ST德豪,,11
521,002006.SZ,精工科技,,53
522,002007.SZ,华兰生物,,38
523,002008.SZ,大族激光,,53
524,002009.SZ,天奇股份,,34
525,002010.SZ,传化智联,,92
526,002011.SZ,盾安环境,,11
527,002012.SZ,凯恩股份,,48
528,002014.SZ,永新股份,,90
529,002015.SZ,协鑫能科,,20
530,002016.SZ,世荣兆业,,4
531,002017.SZ,东信和平,,25
532,002019.SZ,亿帆医药,,32
533,002020.SZ,京新药业,,32
534,002021.SZ,中捷资源,,102
535,002022.SZ,科华生物,,49
536,002023.SZ,海特高新,,75
537,002024.SZ,ST易购,,103
538,002025.SZ,航天电器,,14
539,002026.SZ,山东威达,,57
540,002027.SZ,分众传媒,,67
541,002028.SZ,思源电气,,7
542,002029.SZ,七匹狼,,12
543,002030.SZ,达安基因,,49
544,002031.SZ,巨轮智能,,18
545,002032.SZ,苏泊尔,,11
546,002033.SZ,丽江股份,,47
547,002034.SZ,旺能环境,,19
548,002035.SZ,华帝股份,,11
549,002036.SZ,联创电子,,14
550,002037.SZ,保利联合,,52
551,002038.SZ,双鹭药业,,38
552,002039.SZ,黔源电力,,66
553,002040.SZ,南京港,,27
554,002041.SZ,登海种业,,78
555,002042.SZ,华孚时尚,,81
556,002043.SZ,兔宝宝,,21
557,002044.SZ,美年健康,,49
558,002045.SZ,国光电器,,14
559,002046.SZ,国机精工,,57
560,002047.SZ,宝鹰股份,,104
561,002048.SZ,宁波华翔,,18
562,002049.SZ,紫光国微,,98
563,002050.SZ,三花智控,,11
564,002051.SZ,中工国际,,8
565,002052.SZ,*ST同洲,,11
566,002053.SZ,云南能投,,50
567,002054.SZ,德美化工,,61
568,002055.SZ,得润电子,,14
569,002056.SZ,横店东磁,,7
570,002057.SZ,中钢天源,,86
571,002058.SZ,威尔泰,,97
572,002059.SZ,云南旅游,,47
573,002060.SZ,广东建工,,8
574,002061.SZ,浙江交科,,8
575,002062.SZ,宏润建设,,8
576,002063.SZ,远光软件,,3
577,002064.SZ,华峰化学,,36
578,002065.SZ,东华软件,,3
579,002066.SZ,瑞泰科技,,21
580,002067.SZ,景兴纸业,,48
581,002068.SZ,黑猫股份,,52
582,002069.SZ,獐子岛,,87
583,002072.SZ,凯瑞德,,31
584,002073.SZ,软控股份,,53
585,002074.SZ,国轩高科,,7
586,002075.SZ,沙钢股份,,77
587,002076.SZ,星光股份,,11
588,002077.SZ,大港股份,,98
589,002078.SZ,太阳纸业,,48
590,002079.SZ,苏州固锝,,7
591,002080.SZ,中材科技,,10
592,002081.SZ,金螳螂,,104
593,002082.SZ,万邦德,,44
594,002083.SZ,孚日股份,,81
595,002084.SZ,海鸥住工,,93
596,002085.SZ,万丰奥威,,18
597,002086.SZ,东方海洋,,49
598,002088.SZ,鲁阳节能,,86
599,002090.SZ,金智科技,,7
600,002091.SZ,江苏国泰,,31
601,002092.SZ,ST中泰,,52
602,002093.SZ,国脉科技,,56
603,002094.SZ,青岛金王,,100
604,002095.SZ,生意宝,,74
605,002096.SZ,易普力,,52
606,002097.SZ,山河智能,,34
607,002098.SZ,浔兴股份,,12
608,002099.SZ,海翔药业,,32
609,002100.SZ,天康生物,,76
610,002101.SZ,广东鸿图,,18
611,002102.SZ,能特科技,,32
612,002103.SZ,广博股份,,56
613,002104.SZ,恒宝股份,,25
614,002105.SZ,信隆健康,,94
615,002106.SZ,莱宝高科,,14
616,002107.SZ,沃华医药,,44
617,002108.SZ,沧州明珠,,90
618,002109.SZ,兴化股份,,52
619,002110.SZ,三钢闽光,,73
620,002111.SZ,威海广泰,,75
621,002112.SZ,三变科技,,7
622,002114.SZ,罗平锌电,,24
623,002115.SZ,三维通信,,74
624,002116.SZ,中国海诚,,8
625,002117.SZ,东港股份,,67
626,002119.SZ,康强电子,,98
627,002120.SZ,韵达股份,,92
628,002121.SZ,科陆电子,,97
629,002122.SZ,汇洲智能,,41
630,002123.SZ,梦网科技,,74
631,002124.SZ,ST天邦,,13
632,002125.SZ,湘潭电化,,52
633,002126.SZ,银轮股份,,18
634,002127.SZ,南极电商,,74
635,002128.SZ,电投能源,,68
636,002129.SZ,TCL中环,,7
637,002130.SZ,沃尔核材,,7
638,002131.SZ,利欧股份,,74
639,002132.SZ,恒星科技,,85
640,002133.SZ,广宇集团,,2
641,002134.SZ,天津普林,,14
642,002135.SZ,东南网架,,85
643,002136.SZ,安纳达,,52
644,002137.SZ,实益达,,14
645,002138.SZ,顺络电子,,14
646,002139.SZ,拓邦股份,,14
647,002140.SZ,东华科技,,8
648,002141.SZ,*ST贤丰,,13
649,002142.SZ,宁波银行,,1
650,002144.SZ,宏达高科,,81
651,002145.SZ,中核钛白,,52
652,002146.SZ,荣盛发展,,2
653,002148.SZ,北纬科技,,74
654,002149.SZ,西部材料,,71
655,002150.SZ,通润装备,,57
656,002151.SZ,北斗星通,,25
657,002152.SZ,广电运通,,26
658,002153.SZ,石基信息,,3
659,002154.SZ,报喜鸟,,12
660,002155.SZ,湖南黄金,,51
661,002156.SZ,通富微电,,98
662,002157.SZ,正邦科技,,13
663,002158.SZ,汉钟精机,,34
664,002159.SZ,三特索道,,55
665,002160.SZ,常铝股份,,68
666,002161.SZ,远望谷,,25
667,002162.SZ,悦心健康,,105
668,002163.SZ,海南发展,,104
669,002164.SZ,宁波东力,,57
670,002165.SZ,红宝丽,,52
671,002166.SZ,莱茵生物,,44
672,002167.SZ,东方锆业,,71
673,002168.SZ,ST惠程,,7
674,002169.SZ,智光电气,,7
675,002170.SZ,芭田股份,,40
676,002171.SZ,楚江新材,,72
677,002172.SZ,澳洋健康,,49
